Image,PSNR_NLM,PSNR_Wavelet
NORMAL2-IM-1440-0001.jpeg,7.322629595467005,17.94666012731676
NORMAL2-IM-1437-0001.jpeg,4.904196487063018,21.58136657217074
NORMAL2-IM-1431-0001.jpeg,3.7177404521798896,14.58358651097585
NORMAL2-IM-1436-0001.jpeg,6.436736490900003,21.906382589593587
NORMAL2-IM-1430-0001.jpeg,4.359904714109307,17.019401239559294
NORMAL2-IM-1438-0001.jpeg,4.301360829275412,16.786933103380896
NORMAL2-IM-1442-0001.jpeg,7.854121114595667,16.63398498673458
NORMAL2-IM-1427-0001.jpeg,4.109616223423673,15.014299081812057
person1950_bacteria_4881.jpeg,4.468773540057036,18.997019392646397
person1951_bacteria_4882.jpeg,4.580270436142092,16.91302791675758
person1952_bacteria_4883.jpeg,4.445539977674212,16.334758159732687
person1946_bacteria_4874.jpeg,6.096797744280331,19.196781043698383
person1947_bacteria_4876.jpeg,4.69867014466752,17.61851203317252
person1946_bacteria_4875.jpeg,7.120770040903997,17.28141232636528
person1949_bacteria_4880.jpeg,5.221032241487978,19.918077723377206
person1954_bacteria_4886.jpeg,5.808394347582687,21.53689067798871
